cross_bin,status,contributing_tests
channel_0_x_positive,COVERED,result_positive;per_channel_quantization
channel_0_x_negative,COVERED,result_negative;rounding_3;random_seed_028;random_seed_034
channel_0_x_zero,COVERED,result_zero;zero_points_0;random_seed_071
channel_0_x_sat_pos,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k16_bank1;k32_bank1
channel_0_x_sat_neg,COVERED,k8_bank1;result_sat_neg;rounding_0;rounding_1;pressure_0;pressure_1;pressure_2;bias_boundaries
channel_0_x_relu_zero,COVERED,result_relu_zero;zero_points_1;zero_points_3;random_seed_001;random_seed_005;random_seed_007;random_seed_009;random_seed_015
channel_1_x_positive,COVERED,k4_bank0;result_positive;random_seed_046;random_seed_047
channel_1_x_negative,COVERED,result_negative;bias_boundaries
channel_1_x_zero,COVERED,result_zero;zero_points_0
channel_1_x_sat_pos,COVERED,k4_bank1;k16_bank1;k32_bank1;k64_bank1;result_sat_pos;zero_points_2;rounding_1;rounding_3
channel_1_x_sat_neg,COVERED,k8_bank0;k16_bank0;k32_bank0;k64_bank0;k8_bank1;result_sat_neg;rounding_0;rounding_2
channel_1_x_relu_zero,COVERED,result_relu_zero;zero_points_1;zero_points_3;per_channel_quantization;random_seed_002;random_seed_003;random_seed_006;random_seed_010
channel_2_x_positive,COVERED,result_positive;pressure_1;bias_boundaries;random_seed_053
channel_2_x_negative,COVERED,k32_bank1;result_negative;rounding_1;rounding_3;pressure_2;signed_extrema;random_seed_026
channel_2_x_zero,COVERED,result_zero;zero_points_0
channel_2_x_sat_pos,COVERED,k32_bank0;k64_bank0;result_sat_pos;zero_points_2;pressure_0;per_channel_quantization;random_seed_002;random_seed_003
channel_2_x_sat_neg,COVERED,k4_bank0;k8_bank0;k16_bank0;k4_bank1;k8_bank1;k16_bank1;k64_bank1;result_sat_neg
channel_2_x_relu_zero,COVERED,result_relu_zero;zero_points_1;zero_points_3;random_seed_005;random_seed_012;random_seed_013;random_seed_014;random_seed_020
channel_3_x_positive,COVERED,result_positive;zero_points_1
channel_3_x_negative,COVERED,result_negative;rounding_1;signed_extrema
channel_3_x_zero,COVERED,result_zero;zero_points_0
channel_3_x_sat_pos,COVERED,k8_bank0;k32_bank0;k64_bank0;k4_bank1;k32_bank1;result_sat_pos;zero_points_2;rounding_0
channel_3_x_sat_neg,COVERED,k4_bank0;k16_bank0;k8_bank1;k16_bank1;k64_bank1;result_sat_neg;rounding_2;rounding_3
channel_3_x_relu_zero,COVERED,result_relu_zero;zero_points_3;per_channel_quantization;random_seed_008;random_seed_009;random_seed_014;random_seed_015;random_seed_024
bank_0_x_k_4,COVERED,k4_bank0;signed_extrema;random_seed_001;random_seed_006;random_seed_026;random_seed_031;random_seed_036;random_seed_056
bank_0_x_k_8,COVERED,k8_bank0;result_zero;result_negative;result_sat_neg;rounding_0;rounding_2;random_seed_002;random_seed_007
bank_0_x_k_16,COVERED,k16_bank0;zero_points_0;zero_points_2;per_channel_quantization;random_seed_008;random_seed_013;random_seed_018;random_seed_038
bank_0_x_k_32,COVERED,k32_bank0;pressure_0;pressure_2;random_seed_014;random_seed_019;random_seed_024;random_seed_044;random_seed_049
bank_0_x_k_64,COVERED,k64_bank0;random_seed_020;random_seed_025;random_seed_030;random_seed_050;random_seed_055;random_seed_060;random_seed_080
bank_1_x_k_4,COVERED,k4_bank1;bias_boundaries;random_seed_011;random_seed_016;random_seed_021;random_seed_041;random_seed_046;random_seed_051
bank_1_x_k_8,COVERED,k8_bank1;result_positive;result_sat_pos;result_relu_zero;rounding_1;rounding_3;random_seed_017;random_seed_022
bank_1_x_k_16,COVERED,k16_bank1;zero_points_1;zero_points_3;random_seed_003;random_seed_023;random_seed_028;random_seed_033;random_seed_053
bank_1_x_k_32,COVERED,k32_bank1;pressure_1;random_seed_004;random_seed_009;random_seed_029;random_seed_034;random_seed_039;random_seed_059
bank_1_x_k_64,COVERED,k64_bank1;random_seed_005;random_seed_010;random_seed_015;random_seed_035;random_seed_040;random_seed_045;random_seed_065
asym_0_x_relu_0_x_sat_0,COVERED,result_zero;result_positive;result_negative
asym_0_x_relu_0_x_sat_1,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1
asym_0_x_relu_1_x_sat_0,COVERED,result_relu_zero
asym_0_x_relu_1_x_sat_1,COVERED,result_sat_pos
asym_1_x_relu_0_x_sat_0,COVERED,zero_points_0
asym_1_x_relu_0_x_sat_1,COVERED,zero_points_2;random_seed_016;random_seed_032;random_seed_048;random_seed_064;random_seed_080;random_seed_096
asym_1_x_relu_1_x_sat_0,COVERED,zero_points_1;zero_points_3
asym_1_x_relu_1_x_sat_1,COVERED,per_channel_quantization;random_seed_001;random_seed_002;random_seed_003;random_seed_004;random_seed_005;random_seed_006;random_seed_007
pressure_0_x_bank_swap_0,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k8_bank1;k16_bank1;k32_bank1
pressure_0_x_bank_swap_1,COVERED,k4_bank1;result_zero;result_positive;result_negative;result_sat_pos;result_sat_neg;result_relu_zero;zero_points_0
pressure_1_x_bank_swap_0,COVERED,random_seed_002;random_seed_005;random_seed_007;random_seed_010;random_seed_013;random_seed_023;random_seed_026;random_seed_029
pressure_1_x_bank_swap_1,COVERED,pressure_1;random_seed_015;random_seed_018;random_seed_021;random_seed_039;random_seed_042;random_seed_045;random_seed_063
pressure_2_x_bank_swap_0,COVERED,random_seed_001;random_seed_004;random_seed_011;random_seed_014;random_seed_017;random_seed_019;random_seed_020;random_seed_022
pressure_2_x_bank_swap_1,COVERED,pressure_2;random_seed_003;random_seed_006;random_seed_009;random_seed_012;random_seed_027;random_seed_030;random_seed_033
