bin,status,first_contributors,evidence
family_directed,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1,manifest
family_random,COVERED,random_seed_001;random_seed_002;random_seed_003;random_seed_004;random_seed_005;random_seed_006;random_seed_007;random_seed_008,manifest
k_4,COVERED,k4_bank0;k4_bank1;signed_extrema;bias_boundaries;random_seed_001;random_seed_006;random_seed_011;random_seed_016,command
k_8,COVERED,k8_bank0;k8_bank1;result_zero;result_positive;result_negative;result_sat_pos;result_sat_neg;result_relu_zero,command
k_16,COVERED,k16_bank0;k16_bank1;zero_points_0;zero_points_1;zero_points_2;zero_points_3;per_channel_quantization;random_seed_003,command
k_32,COVERED,k32_bank0;k32_bank1;pressure_0;pressure_1;pressure_2;random_seed_004;random_seed_009;random_seed_014,command
k_64,COVERED,k64_bank0;k64_bank1;random_seed_005;random_seed_010;random_seed_015;random_seed_020;random_seed_025;random_seed_030,command
bank_0,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;result_zero;result_negative;result_sat_neg,configuration
bank_1,COVERED,k4_bank1;k8_bank1;k16_bank1;k32_bank1;k64_bank1;result_positive;result_sat_pos;result_relu_zero,configuration
input_zero,COVERED,k64_bank1;result_zero;zero_points_1;zero_points_3;rounding_3;pressure_1;bias_boundaries;per_channel_quantization,input
input_positive,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1,input
input_negative,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1,input
input_int8_min,COVERED,result_sat_neg;signed_extrema;random_seed_023;random_seed_046;random_seed_055;random_seed_059;random_seed_078;random_seed_079,input
input_int8_max,COVERED,result_sat_pos;signed_extrema;random_seed_025;random_seed_035;random_seed_074;random_seed_078;random_seed_089,input
weights_zero,COVERED,k4_bank0;k32_bank0;k64_bank0;k8_bank1;k16_bank1;k32_bank1;k64_bank1;result_zero,weights
weights_positive,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1,weights
weights_negative,COVERED,k4_bank0;k8_bank0;k16_bank0;k32_bank0;k64_bank0;k4_bank1;k8_bank1;k16_bank1,weights
weights_int8_min,COVERED,signed_extrema;random_seed_004;random_seed_007;random_seed_010;random_seed_013;random_seed_015;random_seed_020;random_seed_022,weights
weights_int8_max,COVERED,result_sat_pos;result_sat_neg;signed_extrema;random_seed_004;random_seed_010;random_seed_011;random_seed_014;random_seed_019,weights
result_positive,COVERED,k4_bank0;result_positive;zero_points_1;pressure_1;bias_boundaries;per_channel_quantization;random_seed_046;random_seed_047,pytorch_result
