graph,seed,layers,nodes,input_k,samples,float_mae,status
fx_graph_00,4100,1,4,4,4,0.00290560,PASS
fx_graph_01,4101,2,5,8,4,0.00129306,PASS
fx_graph_02,4102,3,7,16,4,0.00185858,PASS
fx_graph_03,4103,1,3,4,4,0.00393662,PASS
fx_graph_04,4104,2,5,8,4,0.00548978,PASS
fx_graph_05,4105,3,6,16,4,0.00164250,PASS
fx_graph_06,4106,1,4,4,4,0.00138521,PASS
fx_graph_07,4107,2,4,8,4,0.00455109,PASS
fx_graph_08,4108,3,6,16,4,0.00331513,PASS
fx_graph_09,4109,1,3,4,4,0.00259724,PASS
fx_graph_10,4110,2,6,8,4,0.00278006,PASS
fx_graph_11,4111,3,5,16,4,0.00481622,PASS
fx_graph_12,4112,1,4,4,4,0.00258779,PASS
fx_graph_13,4113,2,5,8,4,0.00033887,PASS
fx_graph_14,4114,3,8,16,4,0.00021247,PASS
fx_graph_15,4115,1,3,4,4,0.00535179,PASS
fx_graph_16,4116,2,5,8,4,0.00297777,PASS
fx_graph_17,4117,3,7,16,4,0.00125486,PASS
fx_graph_18,4118,1,4,4,4,0.00162550,PASS
fx_graph_19,4119,2,4,8,4,0.00350643,PASS
