k,output_stall_cycles,requests,mean_latency_cycles,p50_cycles,p95_cycles,max_cycles,active_macs_per_cycle,macs_per_command,sequential_config_compute_cycles,double_buffered_overlap_cycles,overlap_savings_percent
4,0,7,2.00,2,2,2,16,16,30,28,6.67
4,1-3,6,6.00,6,8,8,16,16,30,28,6.67
4,4-7,11,9.27,10,12,12,16,16,30,28,6.67
8,0,14,3.00,3,3,3,16,32,47,44,6.38
8,1-3,8,7.25,7,9,9,16,32,47,44,6.38
8,4-7,10,9.60,9,13,13,16,32,47,44,6.38
16,0,10,5.00,5,5,5,16,64,81,76,6.17
16,1-3,8,8.75,9,11,11,16,64,81,76,6.17
16,4-7,9,12.33,13,15,15,16,64,81,76,6.17
32,0,5,9.20,9,10,10,16,128,149,140,6.04
32,1-3,7,12.71,13,15,15,16,128,149,140,6.04
32,4-7,13,16.08,17,19,19,16,128,149,140,6.04
64,0,4,17.00,17,17,17,16,256,285,268,5.96
64,1-3,9,21.00,21,23,23,16,256,285,268,5.96
64,4-7,9,23.67,23,27,27,16,256,285,268,5.96
