case,name,status,tag,expected,observed,observed_tag,latency
0,k4_bank0,PASS,0,8080437f,8080437f,0,2
1,k8_bank0,PASS,1,7f80807f,7f80807f,1,3
2,k16_bank0,PASS,2,8080807f,8080807f,2,5
3,k32_bank0,PASS,3,7f7f807f,7f7f807f,3,9
4,k64_bank0,PASS,4,7f7f807f,7f7f807f,4,17
5,k4_bank1,PASS,5,7f807f7f,7f807f7f,5,2
6,k8_bank1,PASS,6,80808080,80808080,6,3
7,k16_bank1,PASS,7,80807f7f,80807f7f,7,5
8,k32_bank1,PASS,8,7ff67f7f,7ff67f7f,8,9
9,k64_bank1,PASS,9,80807f7f,80807f7f,9,17
10,result_zero,PASS,10,00000000,00000000,10,3
11,result_positive,PASS,11,19191919,19191919,11,3
12,result_negative,PASS,12,e7e7e7e7,e7e7e7e7,12,3
13,result_sat_pos,PASS,13,7f7f7f7f,7f7f7f7f,13,3
14,result_sat_neg,PASS,14,80808080,80808080,14,3
15,result_relu_zero,PASS,15,00000000,00000000,15,3
16,zero_points_0,PASS,16,00000000,00000000,16,5
17,zero_points_1,PASS,17,79000000,79000000,17,5
18,zero_points_2,PASS,18,7f7f7f7f,7f7f7f7f,18,5
19,zero_points_3,PASS,19,00000000,00000000,19,5
20,rounding_0,PASS,20,7f808080,7f808080,20,3
21,rounding_1,PASS,21,ceb77f80,ceb77f80,21,3
22,rounding_2,PASS,22,8080807f,8080807f,22,3
23,rounding_3,PASS,23,80967ffd,80967ffd,23,3
24,pressure_0,PASS,24,7f7f8080,7f7f8080,24,10
25,pressure_1,PASS,25,80447f80,80447f80,25,11
26,pressure_2,PASS,26,808b7f80,808b7f80,26,17
27,signed_extrema,PASS,27,dde5807f,dde5807f,27,2
28,bias_boundaries,PASS,28,7f7f8080,7f7f8080,28,2
29,per_channel_quantization,PASS,29,007f005a,007f005a,29,5
30,random_seed_001,PASS,30,7f807f00,7f807f00,30,8
31,random_seed_002,PASS,31,7f7f0080,7f7f0080,31,7
32,random_seed_003,PASS,32,7f7f007f,7f7f007f,32,15
33,random_seed_004,PASS,33,807f7f7f,807f7f7f,33,13
34,random_seed_005,PASS,34,7f007f00,7f007f00,34,19
