name,k,batch,mode,pattern,seed,stall_percent,status,failure_bucket,result,cycles,scalar_cycles,accel_cycles,scalar_instret,accel_instret,counter_overhead,compute_latency,active_cycles,input_stalls,output_stalls,accepted,completed,chunks,configuration_cycles,stream_cycles,poll_cycles,output_read_cycles,scalar_adjusted_cycles,accel_adjusted_cycles,configuration_adjusted_cycles,stream_adjusted_cycles,poll_adjusted_cycles,output_read_adjusted_cycles,end_to_end_speedup,compute_speedup,throughput_outputs_per_cycle
k4_b16_warm_random_s40964_p0,4,16,warm,random,40964,0,PASS,,1611464708,220480,215588,2906,71862,792,11,48,768,0,912,16,16,16,1122,1008,256,512,215588,1850,1111,832,80,336,116.5341,280.7135,0.00864865
k4_b16_warm_random_s40964_p25,4,16,warm,random,40964,25,PASS,,1611464708,220514,215588,2940,71862,792,11,48,768,0,946,16,16,16,1122,1008,256,546,215588,1884,1111,832,80,370,114.4310,280.7135,0.00849257
k4_b16_warm_random_s40964_p75,4,16,warm,random,40964,75,PASS,,1611464708,220890,215588,3316,71862,792,11,48,768,0,1322,16,16,16,1122,1008,256,922,215588,2260,1111,832,80,746,95.3929,280.7135,0.00707965
k8_b16_warm_random_s40968_p0,8,16,warm,random,40968,0,PASS,,1611464712,350406,344330,3546,114776,984,11,88,1408,0,912,16,16,32,1666,1648,256,512,344330,2490,1655,1472,80,336,138.2851,244.5526,0.00642570
k8_b16_warm_random_s40968_p25,8,16,warm,random,40968,25,PASS,,1611464712,350454,344330,3594,114776,984,11,88,1408,0,960,16,16,32,1666,1648,256,560,344330,2538,1655,1472,80,384,135.6698,244.5526,0.00630418
k8_b16_warm_random_s40968_p75,8,16,warm,random,40968,75,PASS,,1611464712,350904,344330,4044,114776,984,11,88,1408,0,1410,16,16,32,1666,1648,256,1010,344330,2988,1655,1472,80,834,115.2376,244.5526,0.00535475
k16_b16_warm_random_s40976_p0,16,16,warm,random,40976,0,PASS,,1611464720,509065,496910,8528,165636,2602,11,393,6288,0,1008,16,16,64,2754,6624,256,512,496910,7472,2743,6448,80,336,66.5029,79.0251,0.00214133
k16_b16_warm_random_s40976_p25,16,16,warm,random,40976,25,PASS,,1611464720,509168,496910,8631,165636,2602,11,393,6288,0,1111,16,16,64,2754,6624,256,615,496910,7575,2743,6448,80,439,65.5987,79.0251,0.00211221
k16_b16_warm_random_s40976_p75,16,16,warm,random,40976,75,PASS,,1611464720,510193,496910,9656,165636,2602,11,393,6288,0,2136,16,16,64,2754,6624,256,1640,496910,8600,2743,6448,80,1464,57.7802,79.0251,0.00186047
k32_b16_warm_random_s40992_p0,32,16,warm,random,40992,0,PASS,,1611464736,970743,949829,14736,316609,4586,11,781,12496,0,1008,16,16,128,5314,12832,256,512,949829,13680,5303,12656,80,336,69.4319,76.0106,0.00116959
k32_b16_warm_random_s40992_p25,32,16,warm,random,40992,25,PASS,,1611464736,970779,949829,14772,316609,4586,11,781,12496,0,1044,16,16,128,5314,12832,256,548,949829,13716,5303,12656,80,372,69.2497,76.0106,0.00116652
k32_b16_warm_random_s40992_p75,32,16,warm,random,40992,75,PASS,,1611464736,971303,949829,15296,316609,4586,11,781,12496,0,1568,16,16,128,5314,12832,256,1072,949829,14240,5303,12656,80,896,66.7015,76.0106,0.00112360
k64_b16_warm_random_s41024_p0,64,16,warm,random,41024,0,PASS,,1611464768,1646587,1609277,27155,536425,8555,11,1557,24912,0,1008,16,16,256,9282,25248,256,512,1609277,26099,9271,25072,80,336,61.6605,64.5985,0.00061305
k64_b16_warm_random_s41024_p25,64,16,warm,random,41024,25,PASS,,1611464768,1646743,1609277,27311,536425,8555,11,1557,24912,0,1164,16,16,256,9282,25248,256,668,1609277,26255,9271,25072,80,492,61.2941,64.5985,0.00060941
k64_b16_warm_random_s41024_p75,64,16,warm,random,41024,75,PASS,,1611464768,1646793,1609277,27361,536425,8555,11,1557,24912,0,1214,16,16,256,9282,25248,256,718,1609277,26305,9271,25072,80,542,61.1776,64.5985,0.00060825
