name,k,batch,mode,pattern,seed,stall_percent,status,failure_bucket,result,cycles,scalar_cycles,accel_cycles,scalar_instret,accel_instret,counter_overhead,compute_latency,active_cycles,input_stalls,output_stalls,accepted,completed,chunks,configuration_cycles,stream_cycles,poll_cycles,output_read_cycles,scalar_adjusted_cycles,accel_adjusted_cycles,configuration_adjusted_cycles,stream_adjusted_cycles,poll_adjusted_cycles,output_read_adjusted_cycles,end_to_end_speedup,compute_speedup,throughput_outputs_per_cycle
k4_b1_warm_random_s36868_p0,4,1,warm,random,36868,0,PASS,,1611464708,16285,14138,158,4712,41,11,33,33,0,84,1,1,1,1122,60,25,32,14138,92,1111,49,14,21,153.6739,428.4242,0.01086957
k4_b1_warm_zeros_s36868_p0,4,1,warm,zeros,36868,0,PASS,,1611464708,6592,4451,152,1483,39,11,27,27,0,84,1,1,1,1110,54,25,32,4451,86,1099,43,14,21,51.7558,164.8519,0.01162791
k4_b1_warm_sat_pos_s36868_p0,4,1,warm,sat_pos,36868,0,PASS,,1611464708,3661,1526,158,508,41,11,33,33,0,84,1,1,1,1110,60,25,32,1526,92,1099,49,14,21,16.5870,46.2424,0.01086957
k4_b1_warm_sat_neg_s36868_p0,4,1,warm,sat_neg,36868,0,PASS,,1611464708,3619,1484,158,494,41,11,33,33,0,84,1,1,1,1110,60,25,32,1484,92,1099,49,14,21,16.1304,44.9697,0.01086957
k4_b1_warm_alternating_s36868_p0,4,1,warm,alternating,36868,0,PASS,,1611464708,6865,4730,158,1576,41,11,33,33,0,84,1,1,1,1110,60,25,32,4730,92,1099,49,14,21,51.4130,143.3333,0.01086957
k8_b1_warm_random_s36872_p0,8,1,warm,random,36872,0,PASS,,1611464712,20940,18233,174,6077,45,11,49,49,0,84,1,1,2,1666,76,25,32,18233,108,1655,65,14,21,168.8241,372.1020,0.00925926
k8_b1_warm_zeros_s36872_p0,8,1,warm,zeros,36872,0,PASS,,1611464712,5004,2327,162,775,41,11,37,37,0,84,1,1,2,1654,64,25,32,2327,96,1643,53,14,21,24.2396,62.8919,0.01041667
k8_b1_warm_sat_pos_s36872_p0,8,1,warm,sat_pos,36872,0,PASS,,1611464712,11967,9284,168,3094,43,11,43,43,0,84,1,1,2,1654,70,25,32,9284,102,1643,59,14,21,91.0196,215.9070,0.00980392
k8_b1_warm_sat_neg_s36872_p0,8,1,warm,sat_neg,36872,0,PASS,,1611464712,35157,32474,168,10824,43,11,43,43,0,84,1,1,2,1654,70,25,32,32474,102,1643,59,14,21,318.3725,755.2093,0.00980392
k8_b1_warm_alternating_s36872_p0,8,1,warm,alternating,36872,0,PASS,,1611464712,23946,21263,168,7087,43,11,43,43,0,84,1,1,2,1654,70,25,32,21263,102,1643,59,14,21,208.4608,494.4884,0.00980392
k16_b1_warm_random_s36880_p0,16,1,warm,random,36880,0,PASS,,1611464720,37873,33689,557,11229,170,11,423,423,0,93,1,1,4,2754,459,25,32,33689,491,2743,448,14,21,68.6130,79.6430,0.00203666
k16_b1_warm_zeros_s36880_p0,16,1,warm,zeros,36880,0,PASS,,1611464720,7747,3581,557,1193,170,11,423,423,0,93,1,1,4,2742,459,25,32,3581,491,2731,448,14,21,7.2933,8.4657,0.00203666
k16_b1_warm_sat_pos_s36880_p0,16,1,warm,sat_pos,36880,0,PASS,,1611464720,18919,14753,557,4917,170,11,423,423,0,93,1,1,4,2742,459,25,32,14753,491,2731,448,14,21,30.0468,34.8771,0.00203666
k16_b1_warm_sat_neg_s36880_p0,16,1,warm,sat_neg,36880,0,PASS,,1611464720,55633,51467,557,17155,170,11,423,423,0,93,1,1,4,2742,459,25,32,51467,491,2731,448,14,21,104.8208,121.6714,0.00203666
k16_b1_warm_alternating_s36880_p0,16,1,warm,alternating,36880,0,PASS,,1611464720,37630,33464,557,11154,170,11,423,423,0,93,1,1,4,2742,459,25,32,33464,491,2731,448,14,21,68.1548,79.1111,0.00203666
k32_b1_warm_random_s36896_p0,32,1,warm,random,36896,0,PASS,,1611464736,52575,45437,954,15145,297,11,823,823,0,93,1,1,8,5314,859,25,32,45437,888,5303,848,14,21,51.1678,55.2090,0.00112613
k32_b1_warm_zeros_s36896_p0,32,1,warm,zeros,36896,0,PASS,,1611464736,13197,6077,954,2025,297,11,823,823,0,93,1,1,8,5302,859,25,32,6077,888,5291,848,14,21,6.8435,7.3840,0.00112613
k32_b1_warm_sat_pos_s36896_p0,32,1,warm,sat_pos,36896,0,PASS,,1611464736,32610,25490,954,8496,297,11,823,823,0,93,1,1,8,5302,859,25,32,25490,888,5291,848,14,21,28.7050,30.9721,0.00112613
k32_b1_warm_sat_neg_s36896_p0,32,1,warm,sat_neg,36896,0,PASS,,1611464736,96576,89456,954,29818,297,11,823,823,0,93,1,1,8,5302,859,25,32,89456,888,5291,848,14,21,100.7387,108.6950,0.00112613
k32_b1_warm_alternating_s36896_p0,32,1,warm,alternating,36896,0,PASS,,1611464736,64947,57827,954,19275,297,11,823,823,0,93,1,1,8,5302,859,25,32,57827,888,5291,848,14,21,65.1205,70.2637,0.00112613
k64_b1_warm_random_s36928_p0,64,1,warm,random,36928,0,PASS,,1611464768,107005,95093,1757,31697,554,11,1626,1626,0,93,1,1,16,9282,1659,25,32,95093,1691,9271,1648,14,21,56.2348,58.4828,0.00059137
k64_b1_warm_zeros_s36928_p0,64,1,warm,zeros,36928,0,PASS,,1611464768,22963,11069,1757,3689,554,11,1626,1626,0,93,1,1,16,9270,1659,25,32,11069,1691,9259,1648,14,21,6.5458,6.8075,0.00059137
k64_b1_warm_sat_pos_s36928_p0,64,1,warm,sat_pos,36928,0,PASS,,1611464768,58684,46790,1757,15596,554,11,1626,1626,0,93,1,1,16,9270,1659,25,32,46790,1691,9259,1648,14,21,27.6700,28.7761,0.00059137
k64_b1_warm_sat_neg_s36928_p0,64,1,warm,sat_neg,36928,0,PASS,,1611464768,177358,165464,1757,55154,554,11,1626,1626,0,93,1,1,16,9270,1659,25,32,165464,1691,9259,1648,14,21,97.8498,101.7614,0.00059137
k64_b1_warm_alternating_s36928_p0,64,1,warm,alternating,36928,0,PASS,,1611464768,118429,106535,1757,35511,554,11,1626,1626,0,93,1,1,16,9270,1659,25,32,106535,1691,9259,1648,14,21,63.0012,65.5197,0.00059137
